"Reference","Value","Datasheet","Footprint","Qty","Mfr. Part #","LCSC #","DigiKey #","Mouser #","Price"
"L1002","2.7nH","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-LQG15HS2N7B02D_C162541.pdf","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1","LQG15HS2N7B02D","C162541","490-LQG15HS2N7B02DCT-ND"," 81-LQG15HS2N7B02D ","0.0367"
"L1003","1.0nH","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-LQG15HS1N0B02D_C162538.pdf","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1","LQG15HS1N0B02D","C162538","490-LQG15HS1N0B02DCT-ND","81-LQG15HS1N0B02D ","0.0306"
"LS1401","CMS-160925-078L100-67","https://www.mouser.com/datasheet/2/670/cms_160925_078x_67-1777595.pdf","Speakers:16x9mm Speaker","1","CMS-160925-078L100-67","C3311830","CMS-160925-078L100-67-ND","490-CMS16092578L1067 ","2.32"
"MK1401","SPH0645LM4H-B","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/908/SPH0645LM4H-B.pdf","Sensor_Audio:Knowles_SPH0645LM4H-6_3.5x2.65mm","1","SPH0645LM4H-B","NA","423-SPH0645LM4H-BCT-ND","721-SPH0645LM4H-B","1.92"
"Q302,Q303","AO3400A","https://datasheet.lcsc.com/lcsc/1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf","Package_TO_SOT_SMD:SOT-23","2","AO3400A","C20917","785-1000-1-ND","NA","0.0724"
"R201,R202","5.1K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-075K1L_C105872.pdf","Resistor_SMD:R_0402_1005Metric","2","RC0402FR-075K1L","C105872","311-5.10KLRCT-ND","603-RC0402FR-075K1L","0.0007"
"R302","2K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-072KL_C60488.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-072KL","C60488","311-2KLRCT-ND","603-RC0402FR-072KL","0.0007"
"R305","100","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07100RL_C106232.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-07100RL","C106232","311-100LRCT-ND","603-RC0402FR-07100RL","0.0007"
"R306","1K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071KL_C106235.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-071KL","C106235","311-1.00KLRCT-ND","603-RC0402FR-071KL","0.0007"
"R401,R701,R801,R802","10K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf","Resistor_SMD:R_0402_1005Metric","4","RC0402FR-0710KL","C60490","311-10.0KLRCT-ND","603-RC0402FR-0710KL","0.0006"
"R402","300","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07300RL_C138010.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-07300RL","C138010","311-300LRCT-ND","603-RC0402FR-07300RL","0.0007"
"R501,R502,R503,R504,R505,R1102,R1103,R1201","0","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-070RL_C106231.pdf","Resistor_SMD:R_0402_1005Metric","8","RC0402FR-070RL","C106231","311-0.0LRCT-ND","603-RC0402FR-070RL","0.0007"
"R1101","1.5K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071K5L_C114759.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-071K5L","C114759","311-1.50KLRCT-ND","603-RC0402FR-071K5L","0.0007"
"R1202","3.3K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-073K3L_C137992.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-073K3L","C137992","311-3.30KLRCT-ND","603-RC0402FR-073K3L","0.0007"
"R1203","4.7K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-074K7L_C105871.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-074K7L","C105871","311-4.7KLRCT-ND","603-RC0402FR-074K7L","0.0006"
"R1301","330","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07330RL_C105875.pdf","Resistor_SMD:R_0402_1005Metric","1","RC0402FR-07330RL","C105875","311-330LRCT-ND","603-RC0402FR-07330RL","0.0007"
"R1401,R1402,R1403","47","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0747RL_C137973.pdf","Resistor_SMD:R_0402_1005Metric","3","RC0402FR-0747RL","C137973","311-47.0LRCT-ND","603-RC0402FR-0747RL","0.0006"
"R1404,R1405,R1406","100K","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07100KL_C60491.pdf","Resistor_SMD:R_0402_1005Metric","3","RC0402FR-07100KL","C60491","311-100KLRCT-ND","603-RC0402FR-07100KL","0.0006"
"SW401","Slide Switch","https://datasheet.lcsc.com/lcsc/2304140030_G-Switch-MK-12C02-G025_C778186.pdf","MK-12C02-G020_GSW","1","MK-12C02-G025","C778186","NA","NA","0.1027"
"SW801","Boot","https://datasheet.lcsc.com/lcsc/2309251154_Lian-Xin-Technology-XDTD-0304-215_C7498203.pdf","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1","XDTD-0304-215","C7498203","2449-CS1213AGF260CT-ND","NA","0.0426"
"SW802","Reset","https://datasheet.lcsc.com/lcsc/2309251154_Lian-Xin-Technology-XDTD-0304-215_C7498203.pdf","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1","XDTD-0304-215","C7498203","2449-CS1213AGF260CT-ND","NA","0.0426"
"U301","MCP73831T-2ATI/OT","https://datasheet.lcsc.com/lcsc/2304140030_Microchip-Tech-MCP73831T-2ATI-OT_C14879.pdf","Package_TO_SOT_SMD:SOT-23-5","1","MCP73831T-2ATI/OT","C14879","MCP73831T-2ATI/OTCT-ND","579-MCP73831T-2ATIOT","1.0548"
"U302","DW01","https://datasheet.lcsc.com/lcsc/2007091535_PJSEMI-DW01_C686633.pdf","DW01A:SOT23-6","1","DW01","C686633","NA","NA","0.0610"
"U401","TPS2115ADRBR","https://datasheet.lcsc.com/lcsc/1912111437_Texas-Instruments-TPS2115ADRBR_C140321.pdf","TPS2115ADRBR:SON65P300X300X100-9N","1","TPS2115ADRBR","C140321","296-23394-1-ND"," 595-TPS2115ADRBR ","1.0628"
"U402","TPS62026DGQ","https://datasheet.lcsc.com/lcsc/2304140030_Texas-Instruments-TPS62026DGQ_C1356111.pdf","DGQ10_1P88X1P57","1","TPS62026DGQ","C1356111","296-34633-5-ND","595-TPS62026DGQ","1.7824"
"U501","ESP32-S3","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm","1","ESP32-S3","C2913192","1965-ESP32-S3-ND","356-ESP32-S3","2.5471"
"U701","APS1604M-SQ-SN","https://www.mouser.com/datasheet/2/1127/APM_PSRAM_QSPI_APS1604M_SQ_v2_7_PKG-1954808.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","APS1604M-SQ-SN","NA","NA","878-APS1604M-SQ-SN","1.26"
"U1401","MAX98357AETE_T","https://datasheet.lcsc.com/lcsc/2201242100_Analog-Devices-Inc--Maxim-Integrated-MAX98357AETE-T_C910544.pdf","MAX98357AETE_T:QFN50P300X300X80-17N","1","MAX98357AETE+T","C910544","MAX98357AETE+TCT-ND","700-MAX98357AETE+T","1.2537"
"X901","ECS-400-10-36B2-CKM-TR","https://ecsxtal.com/store/pdf/ECX-2236B2.pdf","ECS-400_ECS","1","ECS-400-10-36B2-CKM-TR","NA","50-ECS-400-10-36B2-CKM-TRCT-ND","520-400-10-36B2CKMTR","0.42"
